method,obc(%),obcc(%),gap(pp)
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriterHelper.startNode,50.0,50.0,0.0
com.thoughtworks.xstream.io.path.Path.hashCode,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getImplicitCollectionDefForFieldName,100.0,100.0,0.0
com.thoughtworks.xstream.XStream.<init>,100.0,50.0,50.0
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter.unmarshal,87.5,37.5,50.0
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.getHeader,66.129036,38.709675,27.419361
com.thoughtworks.xstream.converters.extended.UseAttributeForEnumMapper.isEnum,100.0,66.66667,33.33333
com.thoughtworks.xstream.core.ReferenceByXPathUnmarshaller.getReferenceKey,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.AttributeMapper.shouldLookForSingleValueConverter,83.33333,50.0,33.33333
com.thoughtworks.xstream.mapper.AbstractXmlFriendlyMapper.escapeClassName,50.0,50.0,0.0
com.thoughtworks.xstream.converters.ErrorWritingException.add,100.0,75.0,25.0
com.thoughtworks.xstream.XStream.setupSecurity,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass.add,100.0,50.0,50.0
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.handleUnknownField,83.33333,50.0,33.33333
com.thoughtworks.xstream.core.util.ObjectIdDictionary.cleanup,100.0,50.0,50.0
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller.convert,95.454544,63.636364,31.81818
com.thoughtworks.xstream.converters.collections.SingletonCollectionConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.ISO8601JodaTimeConverter.fromString,75.0,75.0,0.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter.doUnmarshal,83.33333,33.333336,49.999992
com.thoughtworks.xstream.XStream.aliasDynamically,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.DependencyInjectionFactory.newInstance,91.25,70.0,21.25
com.thoughtworks.xstream.core.TreeUnmarshaller.addInformationTo,75.0,25.0,50.0
com.thoughtworks.xstream.io.copy.HierarchicalStreamCopier.copy,87.5,25.0,62.5
com.thoughtworks.xstream.converters.basic.DateConverter.toString,75.0,75.0,0.0
com.thoughtworks.xstream.core.util.ArrayIterator.hasNext,100.0,50.0,50.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter$1.writeFieldsToStream,78.57143,42.857143,35.714283
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.add,76.92308,50.0,26.92308
com.thoughtworks.xstream.core.util.FastStack.peek,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getFieldNameForItemTypeAndName,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.FastField.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.mapper.MapperWrapper.<init>,100.0,62.5,37.5
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy$ValidFilenameFilter.accept,50.0,50.0,0.0
com.thoughtworks.xstream.core.TreeUnmarshaller.currentObject,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.JavaFieldConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.CompositeClassLoader.addInternal,50.0,37.5,12.5
com.thoughtworks.xstream.mapper.SecurityMapper.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.converters.reflection.FieldDictionary.buildDictionaryEntryForClass,75.0,45.0,30.0
com.thoughtworks.xstream.core.util.OrderRetainingMap.putAll,100.0,50.0,50.0
com.thoughtworks.xstream.persistence.XmlSet.findEmptyKey,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.XmlSet.add,50.0,50.0,0.0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy$XmlMapEntriesIterator.hasNext,100.0,100.0,0.0
com.thoughtworks.xstream.converters.collections.MapConverter.populateMap,100.0,50.0,50.0
com.thoughtworks.xstream.core.TreeUnmarshaller.start,100.0,50.0,50.0
com.thoughtworks.xstream.converters.collections.CollectionConverter.marshal,100.0,50.0,50.0
com.thoughtworks.xstream.converters.javabean.BeanProvider.newInstance,50.0,50.0,0.0
com.thoughtworks.xstream.core.TreeMarshaller.convertAnother,75.0,25.0,50.0
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter.<init>,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.HierarchicalStreams.readClassAttribute,66.66667,50.0,16.666672
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.readDeclaringClass,75.0,75.0,0.0
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.marshal,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.CachingMapper.realClass,100.0,75.0,25.0
com.thoughtworks.xstream.converters.extended.SubjectConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.security.ForbiddenClassException.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.getInstance,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.GregorianCalendarConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.io.binary.Token$Formatter.write,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.WeakCache.iterate,80.0,40.0,40.0
com.thoughtworks.xstream.mapper.ClassAliasingMapper.realClass,100.0,25.0,75.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass.getImplicitCollectionDefForFieldName,100.0,25.0,75.0
com.thoughtworks.xstream.XStream.buildMapper,62.5,25.0,37.5
com.thoughtworks.xstream.core.util.WeakCache.values,50.0,50.0,0.0
com.thoughtworks.xstream.io.path.PathTracker.peekElement,66.66667,33.333336,33.333336
com.thoughtworks.xstream.mapper.DefaultImplementationsMapper.serializedClass,100.0,50.0,50.0
com.thoughtworks.xstream.XStream.setupAliases,55.555557,38.88889,16.666668
com.thoughtworks.xstream.core.util.FastStack.hasStuff,100.0,100.0,0.0
com.thoughtworks.xstream.io.path.PathTrackingWriter.startNode,100.0,25.0,75.0
com.thoughtworks.xstream.converters.basic.DateConverter.<init>,100.0,66.66667,33.33333
com.thoughtworks.xstream.security.WildcardTypePermission.getRegExpPatterns,92.85714,35.714287,57.142853
com.thoughtworks.xstream.io.binary.Token.writeString,100.0,100.0,0.0
com.thoughtworks.xstream.converters.ErrorWritingException.addData,100.0,50.0,50.0
com.thoughtworks.xstream.converters.collections.CollectionConverter.canConvert,100.0,41.666664,58.333336
com.thoughtworks.xstream.io.xml.DomDriver.createReader,66.66667,33.333336,33.333336
com.thoughtworks.xstream.security.RegExpTypePermission.allows,83.33333,83.33333,0.0
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider.fieldModifiersSupported,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.Pool.fetchFromPool,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter$1.visit,80.769226,34.615387,46.15384
com.thoughtworks.xstream.converters.collections.BitSetConverter.canConvert,100.0,100.0,0.0
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter.instantiateNewInstance,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.WeakCache$1.visit,50.0,50.0,0.0
com.thoughtworks.xstream.converters.basic.StringConverter.fromString,80.0,60.000004,19.999996
com.thoughtworks.xstream.io.xml.XppDriver.createDefaultParser,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.SelfStreamingInstanceChecker.marshal,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.PresortedMap.<init>,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.SerializationMembers.supportsWriteObject,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.EnumMapper.getLocalConverter,90.0,20.0,70.0
com.thoughtworks.xstream.io.AttributeNameIterator.hasNext,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.SerializationMembers.getMethod,83.33333,58.333332,24.999996
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$2.writeField,93.75,6.25,87.5
com.thoughtworks.xstream.io.binary.BinaryStreamReader.pushBack,50.0,50.0,0.0
com.thoughtworks.xstream.converters.collections.CharArrayConverter.canConvert,83.33333,66.66667,16.666656
com.thoughtworks.xstream.converters.ErrorWritingException.getMessage,66.66667,16.666668,50.000004
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass.getImplicitCollectionDefByItemFieldName,83.33333,33.333336,49.999992
com.thoughtworks.xstream.converters.extended.DynamicProxyConverter.canConvert,83.33333,50.0,33.33333
com.thoughtworks.xstream.security.PrimitiveTypePermission.allows,80.0,80.0,0.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass.getItemTypeForItemFieldName,100.0,25.0,75.0
com.thoughtworks.xstream.converters.collections.TreeSetConverter$1$1.add,50.0,25.0,25.0
com.thoughtworks.xstream.core.util.FastField.hashCode,50.0,50.0,0.0
com.thoughtworks.xstream.io.xml.xppdom.XppDom.getChildren,12.5,12.5,0.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter$2.readFieldsFromStream,75.0,25.0,50.0
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter.<init>,75.0,25.0,50.0
com.thoughtworks.xstream.security.ExplicitTypePermission.allows,100.0,100.0,0.0
com.thoughtworks.xstream.converters.basic.NullConverter.canConvert,75.0,50.0,25.0
com.thoughtworks.xstream.io.xml.AbstractPullReader.reset,100.0,50.0,50.0
com.thoughtworks.xstream.core.TreeUnmarshaller.convertAnother,75.0,25.0,50.0
com.thoughtworks.xstream.core.util.CustomObjectInputStream$CustomGetField.defaulted,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.JavaMethodConverter.unmarshal,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.SerializationMembers.callWriteReplace,75.0,62.5,12.5
com.thoughtworks.xstream.core.util.CompositeClassLoader$1.addAll,100.0,50.0,50.0
com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter.toString,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.CompositeClassLoader$1.add,50.0,50.0,0.0
