method, missed_branch, covered_branch, total_branch
com.thoughtworks.xstream.converters.extended.SqlDateConverter.canConvert,0,2,2
com.thoughtworks.xstream.converters.reflection.SerializableConverter$UnserializableParentsReflectionProvider$1.visit,0,2,2
com.thoughtworks.xstream.io.StatefulWriter.startNodeCommon,0,2,2
com.thoughtworks.xstream.converters.enums.EnumSetConverter$Reflections.<clinit>,0,0,0
com.thoughtworks.xstream.core.util.ObjectIdDictionary.size,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream$CustomPutField.write,0,0,0
com.thoughtworks.xstream.mapper.OuterClassMapper.realMember,4,8,12
com.thoughtworks.xstream.io.xml.JDom2Reader.getChildCount,0,0,0
com.thoughtworks.xstream.core.util.TypedNull.getType,0,0,0
com.thoughtworks.xstream.converters.extended.FontConverter.<init>,1,1,2
com.thoughtworks.xstream.mapper.AttributeMapper.addAttributeFor,1,1,2
com.thoughtworks.xstream.converters.reflection.SerializationMethodInvoker.<init>,0,0,0
com.thoughtworks.xstream.core.util.FastField.equals,10,10,20
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter$1.flush,0,0,0
com.thoughtworks.xstream.converters.extended.SqlTimeConverter.fromString,0,0,0
com.thoughtworks.xstream.converters.reflection.SerializableConverter.isSerializable,1,13,14
com.thoughtworks.xstream.converters.enums.EnumConverter.unmarshal,5,1,6
com.thoughtworks.xstream.io.xml.XppReader.getAttribute,0,0,0
com.thoughtworks.xstream.io.binary.ReaderDepthState.setValue,0,0,0
com.thoughtworks.xstream.converters.basic.URIConverter.<init>,0,0,0
com.thoughtworks.xstream.io.binary.Token.readId,1,4,5
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.<init>,0,0,0
com.thoughtworks.xstream.core.util.Primitives.primitiveType,0,0,0
com.thoughtworks.xstream.converters.basic.DateConverter.fromString,2,4,6
com.thoughtworks.xstream.io.xml.AbstractPullReader.readEvent,0,6,6
com.thoughtworks.xstream.core.util.DependencyInjectionFactory$1.<init>,0,0,0
com.thoughtworks.xstream.io.xml.XomDriver.<init>,0,0,0
com.thoughtworks.xstream.converters.reflection.FieldDictionary$DictionaryEntry.getKeyedByFieldName,0,0,0
com.thoughtworks.xstream.converters.basic.BigDecimalConverter.canConvert,0,2,2
com.thoughtworks.xstream.io.ReaderWrapper.getAttributeCount,0,0,0
com.thoughtworks.xstream.io.xml.Dom4JDriver.createReader,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeObjectOverride,0,0,0
com.thoughtworks.xstream.converters.ErrorWritingException.getShortMessage,0,0,0
com.thoughtworks.xstream.core.util.WeakCache.size,0,2,2
com.thoughtworks.xstream.converters.extended.RegexPatternConverter.unmarshal,0,0,0
com.thoughtworks.xstream.io.xml.xppdom.Xpp3DomBuilder.build,0,0,0
com.thoughtworks.xstream.converters.basic.BigIntegerConverter.<init>,0,0,0
com.thoughtworks.xstream.io.xml.SaxWriter.<init>,0,0,0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.getConverterLookup,0,0,0
com.thoughtworks.xstream.core.util.Fields.find,1,1,2
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$2.<init>,0,0,0
com.thoughtworks.xstream.core.util.SerializationMembers.callReadObject,1,1,2
com.thoughtworks.xstream.mapper.XmlFriendlyMapper.realClass,0,0,0
com.thoughtworks.xstream.converters.collections.MapConverter.canConvert,1,11,12
com.thoughtworks.xstream.core.JVM.isVersion,2,4,6
com.thoughtworks.xstream.mapper.EnumMapper.readResolve,0,0,0
com.thoughtworks.xstream.converters.javabean.BeanProperty.setGetterMethod,0,0,0
com.thoughtworks.xstream.converters.basic.UUIDConverter.canConvert,0,2,2
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.peekCallback,0,0,0
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.isXmlNameStartChar,0,0,0
com.thoughtworks.xstream.io.json.JsonWriter.endArray,0,0,0
com.thoughtworks.xstream.mapper.LocalConversionMapper.getConverterFromItemType,0,2,2
