method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.core.util.TypedNull.getType,1,0,1
com.thoughtworks.xstream.converters.extended.FontConverter.<init>,2,3,5
com.thoughtworks.xstream.mapper.AttributeMapper.addAttributeFor,2,3,5
com.thoughtworks.xstream.core.util.FastField.equals,4,6,10
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.currentPath,1,0,1
com.thoughtworks.xstream.converters.extended.SqlTimeConverter.fromString,1,0,1
com.thoughtworks.xstream.converters.reflection.SerializableConverter.isSerializable,4,2,6
com.thoughtworks.xstream.converters.extended.StackTraceElementConverter.<clinit>, line 37,3,9,12
com.thoughtworks.xstream.converters.enums.EnumConverter.unmarshal,5,5,10
com.thoughtworks.xstream.io.xml.XppReader.getAttribute,1,1,2
com.thoughtworks.xstream.io.binary.ReaderDepthState.setValue,0,1,1
com.thoughtworks.xstream.io.binary.Token.readId,8,3,11
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.<init>,0,1,1
com.thoughtworks.xstream.io.json.JsonWriter.getLineIndenter,1,0,1
com.thoughtworks.xstream.core.util.Primitives.primitiveType,0,1,1
com.thoughtworks.xstream.converters.basic.DateConverter.fromString,3,9,12
com.thoughtworks.xstream.io.xml.AbstractPullReader.readEvent,0,7,7
com.thoughtworks.xstream.io.xml.XomDriver.<init>,8,0,8
com.thoughtworks.xstream.converters.basic.BigDecimalConverter.canConvert,0,1,1
com.thoughtworks.xstream.io.ReaderWrapper.getAttributeCount,1,0,1
com.thoughtworks.xstream.io.xml.Dom4JDriver.createReader,21,0,21
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeObjectOverride,1,0,1
com.thoughtworks.xstream.converters.ErrorWritingException.getShortMessage,0,1,1
com.thoughtworks.xstream.core.util.ObjectIdDictionary.hashCode,0,2,2
com.thoughtworks.xstream.MarshallingStrategy.null,0,0,0
com.thoughtworks.xstream.core.util.WeakCache.size,5,0,5
com.thoughtworks.xstream.converters.extended.RegexPatternConverter.unmarshal,7,0,7
com.thoughtworks.xstream.io.xml.xppdom.Xpp3DomBuilder.build,5,0,5
com.thoughtworks.xstream.io.xml.SaxWriter.<init>,7,0,7
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.getConverterLookup,1,0,1
com.thoughtworks.xstream.core.util.Fields.find,8,0,8
com.thoughtworks.xstream.annotations.XStreamContainedType.null,0,0,0
com.thoughtworks.xstream.core.util.SerializationMembers.callReadObject,9,0,9
com.thoughtworks.xstream.mapper.XmlFriendlyMapper.realClass,1,0,1
com.thoughtworks.xstream.mapper.EnumMapper.readResolve,0,3,3
com.thoughtworks.xstream.converters.collections.MapConverter.canConvert,0,3,3
com.thoughtworks.xstream.core.JVM.isVersion,1,3,4
com.thoughtworks.xstream.converters.basic.UUIDConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.peekCallback,1,0,1
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.isXmlNameStartChar,0,1,1
com.thoughtworks.xstream.io.json.JsonWriter.endArray,2,0,2
com.thoughtworks.xstream.mapper.LocalConversionMapper.getConverterFromItemType,0,2,2
com.thoughtworks.xstream.core.JVM.<clinit>, line 74,5,35,40
com.thoughtworks.xstream.converters.extended.GregorianCalendarConverter.marshal,8,0,8
com.thoughtworks.xstream.converters.extended.ISO8601GregorianCalendarConverter.<init>,5,0,5
com.thoughtworks.xstream.mapper.ImmutableTypesMapper.isReferenceable,0,3,3
com.thoughtworks.xstream.converters.extended.LocaleConverter.fromString,14,0,14
com.thoughtworks.xstream.core.util.ThreadSafePropertyEditor.<init>,4,0,4
com.thoughtworks.xstream.core.util.FastField.toString,1,0,1
com.thoughtworks.xstream.converters.instantiateNewInstance,4,0,4
com.thoughtworks.xstream.core.util.ISO8601JavaTimeConverter.toString,5,0,5
com.thoughtworks.xstream.security.NoPermission.<init>,0,1,1
com.thoughtworks.xstream.persistence.XmlMap.size,2,0,2
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.hashCode,4,0,4
com.thoughtworks.xstream.io.AttributeNameIterator.next,0,1,1
com.thoughtworks.xstream.mapper.Mapper.null,0,0,0
com.thoughtworks.xstream.converters.enums.EnumSingleValueConverter.fromString,0,2,2
com.thoughtworks.xstream.converters.extended.NamedMapConverter.marshal,25,0,25
com.thoughtworks.xstream.converters.basic.ByteConverter.canConvert,0,1,1
com.thoughtworks.xstream.io.xml.SaxWriter.setFeature,3,0,3
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getItemType,1,0,1
com.thoughtworks.xstream.mapper.PackageAliasingMapper.readObject,6,0,6
com.thoughtworks.xstream.converters.extended.NamedMapConverter.getSingleValueConverter,7,0,7
com.thoughtworks.xstream.converters.time.LocalTimeConverter.toString,4,0,4
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.marshallField,0,1,1
